Date,Carrier,Airline Name,Flight_Num,Origin,Dest,Dep_Time,Actual_Dep,Delay,Cancelled
7/31/2025,9E,Endeavor Air,4632,MDW,DTW,1309,1300,-9,0
7/31/2025,9E,Endeavor Air,4643,JAN,ATL,1535,1555,20,0
7/31/2025,9E,Endeavor Air,4654,ORF,DTW,1259,1306,7,0
7/31/2025,9E,Endeavor Air,4803,TYS,MSP,1815,1809,-6,0
7/31/2025,9E,Endeavor Air,4813,CHA,DTW,1509,1550,41,0
7/31/2025,9E,Endeavor Air,4823,IAD,DTW,1300,1251,-9,0
7/31/2025,9E,Endeavor Air,4834,ATL,EVV,1220,1501,161,0
7/31/2025,9E,Endeavor Air,NA,ATL,HPN,1411,1404,-7,0
7/31/2025,9E,Endeavor Air,4891,ORF,JFK,1728,NA,NA,1
7/31/2025,9E,Endeavor Air,4899,MSP,CID,1016,1011,-5,0
7/31/2025,9E,Endeavor Air,4905,LGA,STL,1329,1806,277,0
7/31/2025,9E,Endeavor Air,4910,ATL,DHN,2054,49,235,0
7/31/2025,9E,Endeavor Air,4915,LGA,DSM,1259,1325,26,0
7/31/2025,9E,Endeavor Air,4922,LGA,STL,940,937,-3,0
7/31/2025,9E,Endeavor Air,4925,GRB,DTW,1703,1656,-7,0
7/31/2025,9E,Endeavor Air,4930,HPN,ATL,1029,1028,-1,0
7/31/2025,9E,Endeavor Air,4935,CHA,ATL,1352,1458,66,0
7/31/2025,9E,Endeavor Air,4941,CHO,ATL,548,542,-6,0
7/31/2025,9E,Endeavor Air,4947,LGA,CMH,1150,1143,-7,0
7/31/2025,9E,Endeavor Air,4954,DTW,CLE,1750,1758,8,0
7/31/2025,9E,Endeavor Air,4959,JAX,JFK,700,706,6,0
